,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
5579,F31570,2020-03-20,2020-03-20,2084.7528
5580,F31596,2020-03-23,2020-03-24,839.4200000000001
5581,F31618,2020-03-25,2020-03-25,3646.15
5582,F31628,2020-03-26,2020-03-26,1258.8000000000002
5583,F31652,2020-03-30,2020-03-30,357.0
5584,F31661,2020-03-31,2020-03-31,2090.3
5585,F31672,2020-03-31,2020-03-31,796.8275000000001
5586,F31678,2020-03-31,2020-03-31,3413.0517000000004
5587,F31679,2020-03-31,2020-03-31,300.0
5588,F31688,2020-03-31,2020-03-31,8326.5172
5589,F31689,2020-03-31,2020-03-31,4809.4741
5590,F31747,2020-04-24,2020-04-24,2275.2545
5591,F31752,2020-04-27,2020-04-27,25800.000000000004
5592,F31756,2020-04-27,2020-04-27,150.0
5593,F31761,2020-04-27,2020-04-27,7417.1
5594,F31772,2020-04-28,2020-04-28,2796.9
5595,F31781,2020-04-29,2020-04-29,350.00000000000006
5596,F31787,2020-04-29,2020-04-29,625.6
5597,F31788,2020-04-29,2020-04-29,141.49
5598,F31789,2020-04-30,2020-04-30,21551.7241
5599,F31798,2020-04-30,2020-04-30,1442.0000000000002
5600,F31823,2020-05-14,2020-05-14,232.14
5601,F31828,2020-05-18,2020-05-18,449.00000000000006
5602,F31829,2020-05-18,2020-05-18,974.9982000000001
5603,F31871,2020-05-26,2020-05-26,802.9
5604,F31885,2020-05-28,2020-05-28,540.0
5605,F31891,2020-05-27,2020-05-28,300.0
5606,F31938,2020-06-05,2020-06-05,198.32000000000002
5607,F31948,2020-06-08,2020-06-08,154.6364
5608,F31952,2020-06-08,2020-06-08,349.20000000000005
5609,F31958,2020-06-09,2020-06-09,531.8114
5610,F31973,2020-06-12,2020-06-12,202.41500000000002
5611,F31994,2020-06-16,2020-06-16,184.30000000000004
5612,F32001,2020-06-17,2020-06-17,350.00000000000006
5613,F32006,2020-06-17,2020-06-17,918.9800000000001
5614,F32012,2020-06-18,2020-06-18,385.00000000000006
5615,F32016,2020-06-18,2020-06-18,568.35
5616,F32031,2020-06-19,2020-06-19,222.25
5617,F32032,2020-06-19,2020-06-19,669.82
5618,F32034,2020-05-13,2020-06-22,650.0
5619,F32046,2020-06-23,2020-06-23,443.6
5620,F32055,2020-06-24,2020-06-24,893.5882
5621,F32061,2020-06-24,2020-06-24,1344.0
5622,F32076,2020-06-25,2020-06-25,406.50059999999996
5623,F32094,2020-06-29,2020-06-29,1610.96
5624,F32096,2020-06-29,2020-06-29,1960.0000000000002
5625,F32148,2020-07-02,2020-07-02,2088.4901
5626,F32154,2020-07-02,2020-07-02,693.1029000000001
5627,F32184,2020-07-07,2020-07-07,399.1377
5628,F32189,2020-07-08,2020-07-08,157.5
5629,F32190,2020-07-08,2020-07-08,1888.68
5630,F32199,2020-07-09,2020-07-09,530.16
5631,F32201,2020-07-09,2020-07-09,818.09
5632,F32212,2020-07-10,2020-07-10,187.4486
5633,F32218,2020-07-10,2020-07-10,1374.22
5634,F32223,2020-07-10,2020-07-10,358.7052
5635,F32232,2020-07-13,2020-07-13,725.8000000000001
5636,F32275,2020-07-17,2020-07-17,732.19
5637,F32303,2020-07-21,2020-07-21,2625.0
5638,F32326,2020-07-23,2020-07-23,2648.2679000000003
5639,F32358,2020-07-27,2020-07-27,244.50000000000003
5640,F32360,2020-07-27,2020-07-27,1123.14525
5641,F32361,2020-07-27,2020-07-27,637.0
5642,F32362,2020-07-27,2020-07-27,624.274
5643,F32368,2020-07-28,2020-07-28,1426.95855
5644,F32374,2020-07-28,2020-07-28,871.1792
5645,F32388,2020-07-29,2020-07-29,240.6773
5646,F32394,2020-07-30,2020-07-30,16305.240000000002
5647,F32415,2020-07-31,2020-07-31,800.0000000000001
5648,F32434,2020-07-31,2020-07-31,2625.0
5649,F32435,2020-07-31,2020-07-31,11340.000000000002
5650,F32445,2020-08-05,2020-08-05,227.59000000000003
5651,F32448,2020-08-05,2020-08-05,552.4875000000001
5652,F32471,2020-08-07,2020-08-07,150.0
5653,F32510,2020-08-12,2020-08-12,1779.55
5654,F32521,2020-08-13,2020-08-13,617.28
5655,F32531,2020-08-14,2020-08-14,1510.0
5656,F32539,2020-08-14,2020-08-14,913.2727
5657,F32550,2020-08-14,2020-08-17,607.32
5658,F32551,2020-08-17,2020-08-17,265.3827
5659,F32565,2020-08-18,2020-08-18,837.05
5660,F32573,2020-08-19,2020-08-19,325.0
5661,F32605,2020-08-21,2020-08-21,339.6551
5662,F32606,2020-08-21,2020-08-21,2012.5067000000001
5663,F32613,2020-08-24,2020-08-24,358.18
5664,F32619,2020-08-24,2020-08-24,455.00000000000006
5665,F32620,2020-08-24,2020-08-24,411.13370000000003
5666,F32636,2020-08-26,2020-08-26,1162.88
5667,F32659,2020-08-27,2020-08-27,287.92
5668,F32661,2020-08-27,2020-08-27,289.66
5669,F32662,2020-08-27,2020-08-27,144.82750000000001
5670,F32689,2020-08-31,2020-08-31,258.6206
5671,F32706,2020-08-31,2020-08-31,2889.8632000000002
5672,F32707,2020-08-31,2020-08-31,2605.4300000000003
5673,F32714,2020-08-31,2020-08-31,500.00000000000006
5674,F32715,2020-08-31,2020-08-31,756.5948000000001
5675,F32716,2020-08-31,2020-08-31,969.8275000000001
5676,F32717,2020-08-31,2020-08-31,663.7931000000001
5677,F32720,2020-09-02,2020-09-02,310.34000000000003
5678,F32728,2020-09-02,2020-09-02,1049.1887000000002
5679,F32729,2020-09-02,2020-09-02,906.8964000000001
5680,F32748,2020-09-03,2020-09-03,1791.5273
5681,F32757,2020-09-04,2020-09-04,1300.0
5682,F32760,2020-09-04,2020-09-04,300.0
5683,F32768,2020-09-07,2020-09-07,1940.8400000000001
5684,F32774,2020-09-07,2020-09-07,289.66
5685,F32791,2020-09-08,2020-09-08,549.0400000000001
5686,F32793,2020-09-08,2020-09-08,1603.44
5687,F32794,2020-09-08,2020-09-08,486.20000000000005
5688,F32795,2020-09-08,2020-09-08,700.8620000000001
5689,F32802,2020-09-04,2020-09-09,975.0000000000001
5690,F32813,2020-09-09,2020-09-09,969.8275000000001
5691,F32829,2020-09-11,2020-09-11,756.59
5692,F32830,2020-09-11,2020-09-11,1325.25
5693,F32835,2020-09-11,2020-09-11,379.31030000000004
5694,F32847,2020-09-17,2020-09-17,495.68000000000006
5695,F32858,2020-09-18,2020-09-18,3109.1871
